,,,,,,,,
,,,,,ZipCode,Forecast_Month,Forecast_Rent,Volatility
,,,,,1002,3,2814.31,26.36
,,,,,1002,6,2821.69,26.36
,,,,,1002,9,2819.85,26.36
,,,,,1002,12,2763.39,26.36
,,,,,1103,3,1613.44,0.7
,,,,,1103,6,1613.44,0.7
,,,,,1103,9,1613.44,0.7
,,,,,1103,12,1615.98,0.7
,,,,,1201,3,1472.64,16.07
,,,,,1201,6,1495.59,16.07
,,,,,1201,9,1492.65,16.07
,,,,,1201,12,1533.67,16.07
,,,,,1420,3,1791.79,15.67
,,,,,1420,6,1830.47,15.67
,,,,,1420,9,1848.06,15.67
,,,,,1420,12,1890.16,15.67
,,,,,1440,3,1660.29,4.3
,,,,,1440,6,1660.29,4.3
,,,,,1440,9,1660.29,4.3
,,,,,1440,12,1675.86,4.3
,,,,,1453,3,1816.34,15.14
,,,,,1453,6,1829.83,15.14
,,,,,1453,9,1841.24,15.14
,,,,,1453,12,1849.51,15.14
,,,,,1545,3,2324.01,17.97
,,,,,1545,6,2342.48,17.97
,,,,,1545,9,2368.51,17.97
,,,,,1545,12,2385.65,17.97
,,,,,1581,3,2547.19,13.67
,,,,,1581,6,2571.22,13.67
,,,,,1581,9,2587.57,13.67
,,,,,1581,12,2601.49,13.67
,,,,,1602,3,2213,24.15
,,,,,1602,6,2229.21,24.15
,,,,,1602,9,2252.36,24.15
,,,,,1602,12,2293.83,24.15
,,,,,1603,3,2121.37,18.05
,,,,,1603,6,2121.37,18.05
,,,,,1603,9,2121.37,18.05
,,,,,1603,12,2186.69,18.05
,,,,,1604,3,2119.43,11.66
,,,,,1604,6,2157.24,11.66
,,,,,1604,9,2177.53,11.66
,,,,,1604,12,2193.81,11.66
,,,,,1605,3,2256.12,16.68
,,,,,1605,6,2301.78,16.68
,,,,,1605,9,2304.8,16.68
,,,,,1605,12,2331.7,16.68
,,,,,1606,3,2357.84,15.74
,,,,,1606,6,2357.82,15.74
,,,,,1606,9,2376.63,15.74
,,,,,1606,12,2413.49,15.74
,,,,,1608,3,1764.18,18.81
,,,,,1608,6,1774.87,18.81
,,,,,1608,9,1785.16,18.81
,,,,,1608,12,1794.01,18.81
,,,,,1609,3,1896.05,18.78
,,,,,1609,6,1909.16,18.78
,,,,,1609,9,1940.7,18.78
,,,,,1609,12,1992.36,18.78
,,,,,1610,3,2247.59,17.36
,,,,,1610,6,2261.32,17.36
,,,,,1610,9,2276.35,17.36
,,,,,1610,12,2303.76,17.36
,,,,,1702,3,2314.04,16.77
,,,,,1702,6,2327.24,16.77
,,,,,1702,9,2342.64,16.77
,,,,,1702,12,2362.9,16.77
,,,,,1721,3,2781.59,0
,,,,,1721,6,2781.59,0
,,,,,1721,9,2781.59,0
,,,,,1721,12,2781.59,0
,,,,,1749,3,2470.69,7.52
,,,,,1749,6,2470.69,7.52
,,,,,1749,9,2470.69,7.52
,,,,,1749,12,2497.9,7.52
,,,,,1752,3,2568.93,11.72
,,,,,1752,6,2587.94,11.72
,,,,,1752,9,2604.82,11.72
,,,,,1752,12,2619.88,11.72
,,,,,1757,3,2494.85,12.96
,,,,,1757,6,2540.16,12.96
,,,,,1757,9,2585.24,12.96
,,,,,1757,12,2584.54,12.96
,,,,,1760,3,2655.98,20.66
,,,,,1760,6,2714.29,20.66
,,,,,1760,9,2739.37,20.66
,,,,,1760,12,2773.13,20.66
,,,,,1801,3,2773.02,12.14
,,,,,1801,6,2805.44,12.14
,,,,,1801,9,2822.84,12.14
,,,,,1801,12,2835.63,12.14
,,,,,1803,3,3187.05,29.15
,,,,,1803,6,3236.38,29.15
,,,,,1803,9,3195.56,29.15
,,,,,1803,12,3244.74,29.15
,,,,,1810,3,2832.09,16.77
,,,,,1810,6,2837.98,16.77
,,,,,1810,9,2826.29,16.77
,,,,,1810,12,2853.77,16.77
,,,,,1821,3,2747.91,26.54
,,,,,1821,6,2747.9,26.54
,,,,,1821,9,2766.27,26.54
,,,,,1821,12,2729.24,26.54
,,,,,1824,3,2559.28,20.8
,,,,,1824,6,2572.5,20.8
,,,,,1824,9,2602.34,20.8
,,,,,1824,12,2631.44,20.8
,,,,,1830,3,2197.6,15.99
,,,,,1830,6,2226.21,15.99
,,,,,1830,9,2244.28,15.99
,,,,,1830,12,2269.87,15.99
,,,,,1832,3,2166.3,27.84
,,,,,1832,6,2180.47,27.84
,,,,,1832,9,2187.47,27.84
,,,,,1832,12,2216.52,27.84
,,,,,1843,3,2423.3,12.57
,,,,,1843,6,2465.41,12.57
,,,,,1843,9,2505.17,12.57
,,,,,1843,12,2546.48,12.57
,,,,,1844,3,2554.67,16.3
,,,,,1844,6,2553.7,16.3
,,,,,1844,9,2627.13,16.3
,,,,,1844,12,2648.1,16.3
,,,,,1845,3,2613.1,18.21
,,,,,1845,6,2627.5,18.21
,,,,,1845,9,2643.33,18.21
,,,,,1845,12,2671.23,18.21
,,,,,1851,3,2294.38,0
,,,,,1851,6,2294.38,0
,,,,,1851,9,2294.38,0
,,,,,1851,12,2294.38,0
,,,,,1852,3,2018.65,9.31
,,,,,1852,6,2045.92,9.31
,,,,,1852,9,2066.81,9.31
,,,,,1852,12,2080.13,9.31
,,,,,1854,3,2048.51,25.23
,,,,,1854,6,2095.95,25.23
,,,,,1854,9,2114.98,25.23
,,,,,1854,12,2153.77,25.23
,,,,,1876,3,2708.8,10.84
,,,,,1876,6,2738.18,10.84
,,,,,1876,9,2744.91,10.84
,,,,,1876,12,2756.38,10.84
,,,,,1880,3,2704.08,22.56
,,,,,1880,6,2718.11,22.56
,,,,,1880,9,2757.33,22.56
,,,,,1880,12,2784.88,22.56
,,,,,1901,3,2410.84,19.35
,,,,,1901,6,2424.39,19.35
,,,,,1901,9,2437.56,19.35
,,,,,1901,12,2440.02,19.35
,,,,,1902,3,2224.72,21.45
,,,,,1902,6,2225.61,21.45
,,,,,1902,9,2237.03,21.45
,,,,,1902,12,2263.68,21.45
,,,,,1913,3,2319.81,10.06
,,,,,1913,6,2272.03,10.06
,,,,,1913,9,2318.27,10.06
,,,,,1913,12,2248.41,10.06
,,,,,1915,3,2631.43,19.42
,,,,,1915,6,2661.74,19.42
,,,,,1915,9,2684.25,19.42
,,,,,1915,12,2689.77,19.42
,,,,,1923,3,2839.15,23.91
,,,,,1923,6,2848.74,23.91
,,,,,1923,9,2863.63,23.91
,,,,,1923,12,2849,23.91
,,,,,1950,3,2918.67,38.27
,,,,,1950,6,2871.44,38.27
,,,,,1950,9,2902.17,38.27
,,,,,1950,12,3047.33,38.27
,,,,,1960,3,2878.12,14.32
,,,,,1960,6,2885.79,14.32
,,,,,1960,9,2898.05,14.32
,,,,,1960,12,2895.55,14.32
,,,,,1970,3,2604.38,11.61
,,,,,1970,6,2622.79,11.61
,,,,,1970,9,2648.97,11.61
,,,,,1970,12,2679.45,11.61
,,,,,2019,3,2539.47,18.02
,,,,,2019,6,2618.62,18.02
,,,,,2019,9,2677.8,18.02
,,,,,2019,12,2763.01,18.02
,,,,,2021,3,2799.61,21.15
,,,,,2021,6,2825.63,21.15
,,,,,2021,9,2854.02,21.15
,,,,,2021,12,2832.85,21.15
,,,,,2026,3,2928.22,29.78
,,,,,2026,6,2942.61,29.78
,,,,,2026,9,2919.55,29.78
,,,,,2026,12,2925.52,29.78
,,,,,2038,3,2405.47,30.51
,,,,,2038,6,2424.31,30.51
,,,,,2038,9,2441.94,30.51
,,,,,2038,12,2454.81,30.51
,,,,,2048,3,2432.77,35.23
,,,,,2048,6,2452.49,35.23
,,,,,2048,9,2457.85,35.23
,,,,,2048,12,2464.26,35.23
,,,,,2062,3,2592.02,20.8
,,,,,2062,6,2643.65,20.8
,,,,,2062,9,2691.33,20.8
,,,,,2062,12,2725.05,20.8
,,,,,2072,3,2519.33,22.56
,,,,,2072,6,2556.76,22.56
,,,,,2072,9,2584.37,22.56
,,,,,2072,12,2605,22.56
,,,,,2109,3,3745.49,38.76
,,,,,2109,6,3770.4,38.76
,,,,,2109,9,3782.86,38.76
,,,,,2109,12,3804.1,38.76
,,,,,2111,3,3744.32,25.71
,,,,,2111,6,3769.51,25.71
,,,,,2111,9,3791.12,25.71
,,,,,2111,12,3807.76,25.71
,,,,,2113,3,2734.87,32.69
,,,,,2113,6,2770.93,32.69
,,,,,2113,9,2796.39,32.69
,,,,,2113,12,2816.24,32.69
,,,,,2114,3,3353.3,14.4
,,,,,2114,6,3376.2,14.4
,,,,,2114,9,3398.61,14.4
,,,,,2114,12,3433.06,14.4
,,,,,2115,3,3169.35,23.81
,,,,,2115,6,3203.59,23.81
,,,,,2115,9,3234.41,23.81
,,,,,2115,12,3249.77,23.81
,,,,,2116,3,3321.15,24.74
,,,,,2116,6,3355.66,24.74
,,,,,2116,9,3377.2,24.74
,,,,,2116,12,3394.81,24.74
,,,,,2118,3,3581.25,11.9
,,,,,2118,6,3612.55,11.9
,,,,,2118,9,3634.5,11.9
,,,,,2118,12,3655.05,11.9
,,,,,2119,3,3075.37,39.01
,,,,,2119,6,3126.68,39.01
,,,,,2119,9,3179.39,39.01
,,,,,2119,12,3237.88,39.01
,,,,,2120,3,3837.58,32.92
,,,,,2120,6,3856.79,32.92
,,,,,2120,9,3889.02,32.92
,,,,,2120,12,3935.5,32.92
,,,,,2121,3,3417.81,48.94
,,,,,2121,6,3358.11,48.94
,,,,,2121,9,3336.6,48.94
,,,,,2121,12,3483.17,48.94
,,,,,2122,3,2944.51,26.71
,,,,,2122,6,2975.98,26.71
,,,,,2122,9,3006.36,26.71
,,,,,2122,12,3024.04,26.71
,,,,,2124,3,2809.34,25.39
,,,,,2124,6,2833.87,25.39
,,,,,2124,9,2862.18,25.39
,,,,,2124,12,2914.34,25.39
,,,,,2125,3,3152.92,15.35
,,,,,2125,6,3164.52,15.35
,,,,,2125,9,3198.78,15.35
,,,,,2125,12,3208.56,15.35
,,,,,2127,3,3480.59,33.04
,,,,,2127,6,3502.76,33.04
,,,,,2127,9,3542.62,33.04
,,,,,2127,12,3599.42,33.04
,,,,,2128,3,2976.85,12.99
,,,,,2128,6,2997.62,12.99
,,,,,2128,9,3034.64,12.99
,,,,,2128,12,3063.81,12.99
,,,,,2129,3,3264.87,25.18
,,,,,2129,6,3294.8,25.18
,,,,,2129,9,3289.18,25.18
,,,,,2129,12,3322.65,25.18
,,,,,2130,3,2989.47,21.17
,,,,,2130,6,3032.68,21.17
,,,,,2130,9,3060.77,21.17
,,,,,2130,12,3096.55,21.17
,,,,,2131,3,2703.56,31.53
,,,,,2131,6,2727.51,31.53
,,,,,2131,9,2764.1,31.53
,,,,,2131,12,2808.77,31.53
,,,,,2132,3,2721.1,24.09
,,,,,2132,6,2716.67,24.09
,,,,,2132,9,2766.44,24.09
,,,,,2132,12,2782.08,24.09
,,,,,2134,3,2944.4,12.85
,,,,,2134,6,2967.88,12.85
,,,,,2134,9,2998.62,12.85
,,,,,2134,12,3020.64,12.85
,,,,,2135,3,2845.54,10.74
,,,,,2135,6,2873.27,10.74
,,,,,2135,9,2909.97,10.74
,,,,,2135,12,2939.88,10.74
,,,,,2136,3,2475.47,26.58
,,,,,2136,6,2545.81,26.58
,,,,,2136,9,2585.91,26.58
,,,,,2136,12,2622.75,26.58
,,,,,2138,3,3087.96,13.96
,,,,,2138,6,3093.81,13.96
,,,,,2138,9,3115.7,13.96
,,,,,2138,12,3139.9,13.96
,,,,,2139,3,3233.1,28.35
,,,,,2139,6,3273.25,28.35
,,,,,2139,9,3308.46,28.35
,,,,,2139,12,3346.69,28.35
,,,,,2140,3,3120.8,23.94
,,,,,2140,6,3144.85,23.94
,,,,,2140,9,3145.14,23.94
,,,,,2140,12,3189.3,23.94
,,,,,2141,3,3362.15,11.97
,,,,,2141,6,3375.59,11.97
,,,,,2141,9,3415.05,11.97
,,,,,2141,12,3447.58,11.97
,,,,,2142,3,4015.85,20.05
,,,,,2142,6,4055.16,20.05
,,,,,2142,9,4050.91,20.05
,,,,,2142,12,4021.15,20.05
,,,,,2143,3,3033.2,27.76
,,,,,2143,6,3047.67,27.76
,,,,,2143,9,3082.63,27.76
,,,,,2143,12,3113.58,27.76
,,,,,2144,3,3453.46,21.53
,,,,,2144,6,3504.85,21.53
,,,,,2144,9,3539.52,21.53
,,,,,2144,12,3571.5,21.53
,,,,,2145,3,2957.18,20.53
,,,,,2145,6,2985.37,20.53
,,,,,2145,9,3010.45,20.53
,,,,,2145,12,3038.75,20.53
,,,,,2148,3,2633.66,21.82
,,,,,2148,6,2651.87,21.82
,,,,,2148,9,2678.12,21.82
,,,,,2148,12,2705.2,21.82
,,,,,2149,3,2731.33,20.06
,,,,,2149,6,2767.52,20.06
,,,,,2149,9,2803.37,20.06
,,,,,2149,12,2815.03,20.06
,,,,,2150,3,2533.75,9.65
,,,,,2150,6,2571.47,9.65
,,,,,2150,9,2603.02,9.65
,,,,,2150,12,2637.16,9.65
,,,,,2151,3,2816.15,10.95
,,,,,2151,6,2851.87,10.95
,,,,,2151,9,2875.42,10.95
,,,,,2151,12,2905.98,10.95
,,,,,2152,3,2640.94,30.58
,,,,,2152,6,2727.78,30.58
,,,,,2152,9,2721.46,30.58
,,,,,2152,12,2759.56,30.58
,,,,,2155,3,3200.98,16.48
,,,,,2155,6,3226.1,16.48
,,,,,2155,9,3265.11,16.48
,,,,,2155,12,3308.3,16.48
,,,,,2169,3,2617.51,10.1
,,,,,2169,6,2645.97,10.1
,,,,,2169,9,2664.19,10.1
,,,,,2169,12,2698.56,10.1
,,,,,2170,3,2235.7,7.46
,,,,,2170,6,2247.12,7.46
,,,,,2170,9,2256.44,7.46
,,,,,2170,12,2267.1,7.46
,,,,,2171,3,2734.93,17.85
,,,,,2171,6,2758.71,17.85
,,,,,2171,9,2778.42,17.85
,,,,,2171,12,2793.85,17.85
,,,,,2176,3,2936.69,15.02
,,,,,2176,6,2958.48,15.02
,,,,,2176,9,2981.55,15.02
,,,,,2176,12,2992.07,15.02
,,,,,2180,3,3248.5,45.62
,,,,,2180,6,3304.5,45.62
,,,,,2180,9,3309.46,45.62
,,,,,2180,12,3363.7,45.62
,,,,,2184,3,2825.1,19.78
,,,,,2184,6,2825.56,19.78
,,,,,2184,9,2850.76,19.78
,,,,,2184,12,2878.92,19.78
,,,,,2188,3,2385.6,20.72
,,,,,2188,6,2367.26,20.72
,,,,,2188,9,2402.85,20.72
,,,,,2188,12,2444.18,20.72
,,,,,2189,3,2609.72,24.43
,,,,,2189,6,2569.2,24.43
,,,,,2189,9,2626.06,24.43
,,,,,2189,12,2675.54,24.43
,,,,,2190,3,2603.43,17.01
,,,,,2190,6,2635,17.01
,,,,,2190,9,2661.65,17.01
,,,,,2190,12,2679.56,17.01
,,,,,2210,3,4072.74,22.37
,,,,,2210,6,4072.87,22.37
,,,,,2210,9,4085.69,22.37
,,,,,2210,12,4094.58,22.37
,,,,,2215,3,2866.6,12.25
,,,,,2215,6,2881.94,12.25
,,,,,2215,9,2924.2,12.25
,,,,,2215,12,2947.76,12.25
,,,,,2324,3,2210.04,20.12
,,,,,2324,6,2245.44,20.12
,,,,,2324,9,2240.84,20.12
,,,,,2324,12,2275,20.12
,,,,,2360,3,2734.97,19.75
,,,,,2360,6,2760.28,19.75
,,,,,2360,9,2778.92,19.75
,,,,,2360,12,2795.74,19.75
,,,,,2364,3,3036.95,10.56
,,,,,2364,6,3130.26,10.56
,,,,,2364,9,3213.16,10.56
,,,,,2364,12,3339.88,10.56
,,,,,2368,3,2472.7,12.75
,,,,,2368,6,2486.6,12.75
,,,,,2368,9,2521.09,12.75
,,,,,2368,12,2536.89,12.75
,,,,,2445,3,3479.75,38.03
,,,,,2445,6,3530.87,38.03
,,,,,2445,9,3567.72,38.03
,,,,,2445,12,3586.79,38.03
,,,,,2446,3,3467.63,13.8
,,,,,2446,6,3494.59,13.8
,,,,,2446,9,3531.29,13.8
,,,,,2446,12,3551.57,13.8
,,,,,2451,3,3493.9,31.6
,,,,,2451,6,3513.49,31.6
,,,,,2451,9,3529.49,31.6
,,,,,2451,12,3506.35,31.6
,,,,,2453,3,2838.33,12.77
,,,,,2453,6,2857.38,12.77
,,,,,2453,9,2884.25,12.77
,,,,,2453,12,2901.37,12.77
,,,,,2458,3,2926.91,21.18
,,,,,2458,6,2975.8,21.18
,,,,,2458,9,3017.52,21.18
,,,,,2458,12,3055.17,21.18
,,,,,2460,3,2993.67,28.2
,,,,,2460,6,2997.12,28.2
,,,,,2460,9,3094.23,28.2
,,,,,2460,12,3124.51,28.2
,,,,,2467,3,3480.56,31.6
,,,,,2467,6,3505.75,31.6
,,,,,2467,9,3512.25,31.6
,,,,,2467,12,3524.48,31.6
,,,,,2472,3,2975.43,21.51
,,,,,2472,6,3001.81,21.51
,,,,,2472,9,3027.35,21.51
,,,,,2472,12,3054.93,21.51
,,,,,2474,3,2647.46,22.17
,,,,,2474,6,2651.88,22.17
,,,,,2474,9,2661.82,22.17
,,,,,2474,12,2711.76,22.17
,,,,,2478,3,2882.95,23.17
,,,,,2478,6,2919.04,23.17
,,,,,2478,9,2963.64,23.17
,,,,,2478,12,2980.81,23.17
,,,,,2494,3,3021.29,30.8
,,,,,2494,6,3064.57,30.8
,,,,,2494,9,3075.77,30.8
,,,,,2494,12,3096.42,30.8
,,,,,2601,3,2806.92,0
,,,,,2601,6,2806.92,0
,,,,,2601,9,2806.92,0
,,,,,2601,12,2806.92,0
,,,,,2703,3,2251.57,18.45
,,,,,2703,6,2310.71,18.45
,,,,,2703,9,2327.91,18.45
,,,,,2703,12,2375.15,18.45
,,,,,2720,3,1823.26,13.15
,,,,,2720,6,1828.65,13.15
,,,,,2720,9,1833.33,13.15
,,,,,2720,12,1844.4,13.15
,,,,,2721,3,1662.03,28.73
,,,,,2721,6,1646.56,28.73
,,,,,2721,9,1725.54,28.73
,,,,,2721,12,1794.36,28.73
,,,,,2740,3,1692.34,22.23
,,,,,2740,6,1751.86,22.23
,,,,,2740,9,1750.02,22.23
,,,,,2740,12,1774.38,22.23
,,,,,2760,3,2229.82,31.46
,,,,,2760,6,2250.47,31.46
,,,,,2760,9,2282.08,31.46
,,,,,2760,12,2291.56,31.46
,,,,,2780,3,1919.78,32.82
,,,,,2780,6,1943.77,32.82
,,,,,2780,9,2003.11,32.82
,,,,,2780,12,2035.36,32.82
,,,,,2809,3,2645.46,20.78
,,,,,2809,6,2784.15,20.78
,,,,,2809,9,2778.75,20.78
,,,,,2809,12,2814.61,20.78
,,,,,2840,3,2655.27,41.29
,,,,,2840,6,2705.24,41.29
,,,,,2840,9,2740.45,41.29
,,,,,2840,12,2770.62,41.29
,,,,,2842,3,2748.31,41.81
,,,,,2842,6,2800.43,41.81
,,,,,2842,9,2811.15,41.81
,,,,,2842,12,2945.8,41.81
,,,,,2860,3,1627.27,12.15
,,,,,2860,6,1658.38,12.15
,,,,,2860,9,1688.85,12.15
,,,,,2860,12,1712.67,12.15
,,,,,2861,3,1789.78,20.37
,,,,,2861,6,1740.1,20.37
,,,,,2861,9,1836.12,20.37
,,,,,2861,12,1869.49,20.37
,,,,,2864,3,2254.88,22.5
,,,,,2864,6,2330.85,22.5
,,,,,2864,9,2389.8,22.5
,,,,,2864,12,2458.6,22.5
,,,,,2879,3,2461.48,28.97
,,,,,2879,6,2454.56,28.97
,,,,,2879,9,2482.12,28.97
,,,,,2879,12,2466.67,28.97
,,,,,2886,3,2204.38,18.11
,,,,,2886,6,2230.58,18.11
