zip,n_months
30084,25
77568,25
76051,25
30309,25
76179,25
78235,25
30331,25
78251,25
78572,25
30041,25
75042,25
77706,24
77901,24
77090,24
30012,24
75801,24
75218,24
78163,24
76005,24
78756,24
77571,24
76712,24
76706,24
78574,24
30107,24
30060,24
76502,24
31901,24
78552,24
75007,24
75072,24
78227,24
30329,24
77023,24
75116,24
75119,24
75041,24
30529,24
30296,24
76011,24
78045,24
75901,24
76018,24
75605,24
30115,24
75501,24
30068,24
77474,24
77520,24
77471,24
77477,24
78665,24
77378,24
78240,24
78758,23
77060,23
30121,23
78752,23
75211,23
76021,23
77630,23
75287,23
78746,23
78747,23
75662,23
75460,23
77094,23
79605,23
79382,23
30214,23
78744,23
79930,23
79415,23
78852,23
79103,23
77583,23
77586,23
77611,23
77619,23
30101,23
30305,23
76904,23
77033,23
78242,23
77505,23
77539,23
77535,23
76110,23
30263,23
77521,23
75044,23
78737,23
75043,23
78722,23
76137,23
30548,23
77004,23
30338,23
30319,23
77523,23
30326,23
30233,23
75223,23
78225,23
78221,23
75208,23
78738,23
75203,23
75225,23
78209,23
78210,23
30504,23
30363,23
78656,23
78654,23
77385,23
77381,23
77375,23
75076,23
30339,23
75069,23
30341,23
77355,23
30312,23
30534,23
30542,23
78256,23
30350,23
30349,23
76309,23
77014,23
76207,23
76226,23
76240,23
77414,23
75036,23
78382,23
78539,23
31909,23
76708,23
78258,23
75033,23
78703,23
31707,23
31312,23
31216,23
30813,23
30701,23
31401,23
78634,23
78621,23
76543,23
76548,23
77406,23
77401,23
76501,23
31792,23
78617,23
78589,23
31069,23
31061,23
30904,23
30043,23
30106,23
79902,23
79915,23
31088,23
77072,23
30062,23
75238,23
30035,23
79762,23
79763,23
77087,23
77083,23
77074,22
77078,22
77079,22
77084,22
77089,22
30028,22
30021,22
30019,22
75244,22
75702,22
30011,22
79912,22
30045,22
30039,22
30097,22
30094,22
30092,22
31005,22
76537,22
76522,22
76513,22
76504,22
78613,22
78602,22
78578,22
31302,22
31605,22
31522,22
31419,22
30815,22
30809,22
30741,22
30721,22
78657,22
78550,22
31326,22
31324,22
78642,22
31201,22
31093,22
31407,22
31405,22
77459,22
77433,22
77423,22
77478,22
76266,22
76262,22
76247,22
77013,22
77009,22
77006,22
30344,22
76903,22
76711,22
76559,22
77389,22
30517,22
31404,22
78516,22
78504,22
78415,22
78414,22
78249,22
78362,22
78257,22
78705,22
78681,22
78676,22
77384,22
77365,22
77015,22
75023,22
75021,22
75013,22
77503,22
77502,22
77493,22
77489,22
78233,22
75067,22
75063,22
75010,22
75050,22
30303,22
30297,22
30294,22
30281,22
30277,22
30606,22
75040,22
75039,22
75038,22
75126,22
75104,22
76107,22
76177,22
76148,22
78732,22
30310,22
30307,22
77351,22
30354,22
77003,22
77002,22
77017,22
77362,22
76135,22
78247,22
76119,22
76118,22
76115,22
78229,22
30213,22
30180,22
30168,22
30153,22
30144,22
30135,22
30318,22
30317,22
78228,22
78223,22
78222,22
78216,22
75206,22
75202,22
75201,22
78132,22
75181,22
75167,22
75166,22
75156,22
75134,22
78212,22
78205,22
77551,22
75235,22
75231,22
75226,22
76015,22
76103,22
76078,22
76071,22
77098,22
78754,22
78753,22
77340,22
77336,22
77327,22
77320,22
77053,22
77051,22
77047,22
77045,22
77041,22
76053,22
78154,22
75216,22
77642,22
75402,22
75401,22
76006,22
76016,22
78108,22
78046,22
78023,22
78015,22
75428,22
77591,22
77590,22
30132,22
30116,22
30114,22
30253,22
30240,22
77039,22
77067,22
77059,22
77055,22
77306,22
77303,22
75601,22
75503,22
75454,22
78745,22
78741,22
79110,22
79109,22
76009,22
77705,22
77701,22
79706,22
79705,22
79606,22
79423,22
79416,22
30087,22
79928,22
30080,22
30076,22
30075,22
79410,22
30009,22
79927,21
79602,21
79424,21
79413,21
30067,21
79904,21
79720,21
30038,21
30033,21
30022,21
75253,21
75248,21
75246,21
75240,21
75604,21
75442,21
77598,21
77578,21
76010,21
76008,21
75220,21
77833,21
77803,21
77802,21
77801,21
77713,21
77707,21
75407,21
76002,21
75965,21
75961,21
75791,21
76044,21
76039,21
76036,21
76033,21
76020,21
78070,21
78064,21
78006,21
75237,21
75232,21
75230,21
76014,21
76012,21
76102,21
76088,21
76065,21
76063,21
76060,21
76054,21
76049,21
77563,21
78201,21
75212,21
75205,21
75204,21
78148,21
75098,21
75092,21
75087,21
75081,21
75189,21
75180,21
75165,21
77562,21
77546,21
77532,21
76120,21
76116,21
76114,21
76112,21
75061,21
75060,21
78215,21
75103,21
76109,21
76106,21
76182,21
76180,21
76155,21
76132,21
76131,21
77504,21
78232,21
75078,21
75075,21
75074,21
75071,21
75068,21
75009,21
75006,21
75051,21
31701,21
31632,21
78260,21
78255,21
75034,21
75020,21
75019,21
77479,21
76205,21
76201,21
78541,21
78521,21
78418,21
78413,21
75002,21
31903,21
31320,21
31316,21
31313,21
31210,21
31601,21
31558,21
31503,21
31410,21
77469,21
77450,21
77429,21
78596,21
78573,21
78542,21
31322,21
78626,21
78620,21
31206,21
31204,21
31021,21
30909,21
76310,21
76306,21
76901,21
76705,21
76704,21
77386,21
30507,21
30506,21
30742,21
30705,21
30680,21
78644,21
77379,21
77377,21
77011,21
77010,21
77007,21
30345,21
30607,21
30601,21
30566,21
30519,21
30518,21
78721,21
78704,21
78669,21
78666,21
78660,21
30458,21
76905,21
77034,21
77030,21
77025,21
77024,21
77018,21
77354,21
30328,21
30327,21
30314,21
78736,21
78735,21
78733,21
78729,21
78727,21
78725,21
78724,21
30306,21
77346,21
77345,21
77339,21
77338,21
77316,21
77048,21
30189,21
30188,21
30161,21
30269,21
30260,21
30248,21
30238,21
77040,21
77035,21
77069,21
77066,21
77062,21
77058,21
77302,21
77099,21
30103,21
78750,21
78748,21
30215,21
79119,21
79107,21
78840,21
30126,21
30044,21
30082,21
30078,21
77096,21
77092,21
77086,21
77082,21
77080,21
77075,21
77073,21
30016,21
30013,21
30005,21
79903,20
79703,20
30004,20
79932,20
79934,20
79935,20
31907,20
78412,20
78503,20
78520,20
31406,20
31421,20
77021,20
77026,20
77027,20
77028,20
77032,20
77005,20
77008,20
77054,20
77057,20
77063,20
77064,20
77043,20
76643,20
76657,20
76707,20
76401,20
77046,20
77049,20
77318,20
77357,20
77019,20
31602,20
78252,20
78254,20
78261,20
78374,20
78401,20
31721,20
31820,20
31904,20
31906,20
31217,20
31220,20
30165,20
78749,20
78751,20
30120,20
30122,20
30127,20
30134,20
76108,20
76117,20
77407,20
77441,20
76208,20
76234,20
76248,20
31301,20
31329,20
78575,20
78610,20
30907,20
31047,20
78628,20
78640,20
78244,20
77550,20
76048,20
76052,20
76086,20
76087,20
77511,20
76126,20
78250,20
75048,20
75052,20
75056,20
75057,20
75024,20
78217,20
78218,20
78219,20
78230,20
75070,20
30291,20
30311,20
78728,20
30223,20
30228,20
30252,20
30265,20
77530,20
77545,20
75077,20
75080,20
78237,20
78641,20
78645,20
78653,20
30620,20
30655,20
30656,20
30720,20
30901,20
30567,20
30340,20
30342,20
75251,20
77840,20
77904,20
75227,20
75229,20
75762,20
75964,20
76001,20
77573,20
77627,20
75701,20
75215,20
75217,20
78155,20
78204,20
30360,20
30501,20
78664,20
78701,20
30313,20
30288,20
78211,20
78213,20
75137,20
75146,20
75149,20
78003,20
78028,20
78041,20
78130,20
78133,20
75207,20
75209,20
79936,20
77071,20
77081,20
77085,20
77091,20
